nº ORDEN,DENOMINACIÓN,LOCALIDAD,PROVINCIA,FECHA DE CELEBRACIÓN DE LA FIESTA ,OBSERVACIONES
1,SEMANA SANTA Y TAMBORADA ,AGRAMÓN,ALBACETE,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
2,CABALGATA AÉREA DE LOS REYES MAGOS,ALARILLA,GUADALAJARA,5 de enero,
3,SEMANA SANTA,ALBACETE,ALBACETE,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
4,FERIA DE ALBACETE,ALBACETE,ALBACETE,7-17 de septiembre,
5,ROMERÍA VIRGEN NTRA. SRA. DE CORTES,ALCARAZ,ALBACETE,8 de septiembre,
6,CARNAVAL DE ALCÁZAR DE SAN JUAN,ALCÁZAR DE SAN JUAN,CIUDAD REAL,25-28 de diciembre,
7,FIESTA DE MOROS Y CRISTIANOS,ALCÁZAR DE SAN JUAN,CIUDAD REAL,Fin de semana más próximo al 24 de junio,
8,CARNAVALES,ALMADÉN,CIUDAD REAL,Fecha variable según calendario nacional,
9,FIESTAS MAYORES DE ALMANSA,ALMANSA,ALBACETE,30 de abril-6 de mayo,
10,LA CONMEMORACIÓN DE LA BATALLA DE ALMANSA,ALMANSA,ALBACETE,25 de abril,
10,ENCIERROS DE ALMODÓVAR DEL CAMPO,ALMODÓVAR DEL CAMPO,CIUDAD REAL,13-17 de septiembre,
11,LA ENDIABLADA,ALMONACID DEL MARQUESADO,CUENCA,"1,2,3 de febrero",
12,LA CABALLADA,ATIENZA,GUADALAJARA,Fecha variable según calendario nacional. Domingo de Pentescostés.,Fiesta de i.t. reclasificada como fiesta de i.t.nacional por Resolución de fecha 18/1/80 de la Sª. de Estado de Turismo en 1980 - Domingo Pentecostés
13,DESFILE DE CARROZAS DE LAS FIESTAS DE SEPTIEMBRE,AZUQUECA DE HENARES,GUADALAJARA,Tercer domingo de septiembre. Fecha variable,Tercer domingo de septiembre
14,LA PROCESIÓN DEL STMO. CRISTO DE LA SALA,BARGAS,TOLEDO,Tercer domingo de septiembre,Tercer domingo de septiembre
15,EL TORO DE FUEGO,BARRAX,ALBACETE,agosto,
16,ENCIERRO DE BRIHUEGA,BRIHUEGA,GUADALAJARA,16 y 17 de agosto,
17,JUEGO DE LAS CARAS,CALZADA DE CALATRAVA,CIUDAD REAL,Fecha variable según calendario nacional. Viernes santo por la mañana,Viernes Santo
18,SEMANA SANTA,CAMPO DE CRIPTANA,CIUDAD REAL,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
19,DANZANTES Y PECADOS,CAMUÑAS,TOLEDO,Fecha variable según calendario nacional,Corpus Christi y domingo siguiente
20,LA ALVARADA MEDIEVAL,CAÑETE,CUENCA,Primera semana de agosto,
21,SEMANA SANTA,CARMENA,TOLEDO,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
22,FIESTA DE “MONTONES Y CARRERA NOCTURNA DE ANTORCHAS”,CARCELÉN,ALBACETE,agosto,
23,FIESTA DE MOROS Y CRISTIANOS,CAUDETE,ALBACETE,5-10 de septiembre,
24,DOMINGO DE PIÑATA,CIUDAD REAL,CIUDAD REAL,Fecha variable según calendario nacional.,Fecha variable
25,SEMANA SANTA,CIUDAD REAL,CIUDAD REAL,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
26,FIESTA DE LA PANDORGA,CIUDAD REAL,CIUDAD REAL,31 de julio,
27,SANTA ÁGUEDA,COGOLLUDO,GUADALAJARA,5 de febrero,
28,ROSA DEL AZAFRÁN,CONSUEGRA,TOLEDO,Último fin de semana de octubre,Último fin de semana de octubre
29,CONSUEGRA MEDIEVAL,CONSUEGRA,TOLEDO,en torno al 15 de agosto,
30,SEMANA SANTA,CORRAL DE ALMAGUER,TOLEDO,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
31,SEMANA SANTA Y SEMANA  DE MÚSICA RELIGIOSA,CUENCA,CUENCA,Fecha variable según calendario nacional,Fecha variable
32,FIESTA DE SAN MATEO,CUENCA,CUENCA,18-21 de septiembre,
33,LA VAQUILLA,CHILLÓN,CIUDAD REAL,13 de agosto,agosto
34,SEMANA SANTA,CHINCHILLA DE MONTEARAGÓN,ALBACETE,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
35,SEMANA SANTA,DAIMIEL,CIUDAD REAL,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
36,SEMANA SANTA,EL BONILLO,ALBACETE,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
37,CARRERAS DE CABALLOS ENJAEZADOS,EL  CARPIO DE TAJO,TOLEDO,25 de julio,
37,JORNADAS CERVANTINAS,EL TOBOSO,TOLEDO,Fin de seman más próximo al 23 de abril,Fin de semana más próximo al 23 de abril. Hablé con la alcaldesa el día 4-1.
38,FIESTA DE LAS ALFOMBRAS DE SERRÍN,ELCHE DE LA SIERRA,ALBACETE,Fecha variable según calendario nacional,La noche antes del Corpus Christi (25/05)
39,ENCIERROS DE TOROS,ELCHE DE LA SIERRA,ALBACETE,3 de febrero y 15-19 de septiembre,Hablé con Roberto del Ayto. el 4-1.
40,SANTA ÁGUEDA,ESPINOSA DE HENARES,GUADALAJARA,Primer sábado de febrero,Primer sábado de febrero
41,JORNADAS CERVANTINAS,ESQUIVIAS,TOLEDO,4-12 de diciembre,Fechas previas al 12-12
42,ENCIERROS AL ESTILO FERNANDUCO,FERNÁN CABALLERO,CIUDAD REAL,30 de agosto,
43,BELÉN VIVIENTE,GALÁPAGOS,GUADALAJARA,NAVIDAD,
43,MARATÓN DE CUENTOS,GUADALAJARA,GUADALAJARA,septiembre,
44,SEMANA SANTA,GUADALAJARA,GUADALAJARA,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
45,TENORIO MENDOCINO,GUADALAJARA,GUADALAJARA,Fin de semana más próximo al 31 de octubre.,
46,SEMANA SANTA Y TAMBORADA,HELLÍN,ALBACETE,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
47,CORPUS CHRISTI,HELLÍN,ALBACETE,Fecha variable según calendario nacional,Fecha variable
48,CARNAVAL,HERENCIA,CIUDAD REAL,Fecha variable según calendario nacional,Fecha variable
49,FIESTA DE LA PASIÓN VIVIENTE,HIENDELAENCINA,GUADALAJARA,Fecha variable según calendario nacional,Viernes Santo
50,FESTIVAL DE TEATRO MEDIEVAL,HITA,GUADALAJARA,Primeros de julio,Fecha variable: siempre primer sábado julio.
51,"FESTIVIDAD DE ""EL VÍTOR""",HORCAJO DE SANTIAGO,CUENCA,7-9 de diciembre,
52,FIESTAS DE SAN JUAN EVANGELISTA Y SANTA QUITERIA,HUETE,CUENCA,Del 8 al 11 de mayo y del 22 al 25 de mayo ,
53,LA PROCESIÓN DEL FUEGO,HUMANES,GUADALAJARA,Segundo fin de semana de septiembre,2º sábado de septiembre
54,ROMERÍA Y FIESTA EN HONOR DE LA VIRGEN DE CONSOLACIÓN,INIESTA,CUENCA,Fecha variable. Domingo de Petencostés,Fecha variable - Domingo de Pentecostés
55,FIESTA EN HONOR AL STMO. CRISTO DE LA SALUD,LA PUEBLA DE ALMORADIEL,TOLEDO,"31 de agosto, 1, 2 y 3 de septiembre",Feria y Fiestas: del 31 de agosto al 3 de septiembre. Hablé con Enrique del Ayto. el 4-1.
56,FESTIVAL CELESTINA (LA ESPAÑA DE ROJAS),LA PUEBLA DE MONTALBÁN,TOLEDO,17 al 26 de agosto,Dos últimos fines de semana de agosto
57,CARNAVAL,LA RODA,ALBACETE,Fecha variable según calendario nacional,Fecha variable
58,SEMANA SANTA,LA RODA,ALBACETE,Fecha variable según calendario nacional,"De Domingo de Ramos a Domingo de Resurrección, ambos incluídos."
59,SEMANA DE LA ZARZUELA,LA SOLANA,CIUDAD REAL,13-22 de octubre,
60,CORPUS CHRISTI ,LAGARTERA,TOLEDO,Fecha variable según calendario nacional,Fecha variable: siguiente domingo al Corpus de Toledo
61,FIESTA DE MOROS Y CRISTIANOS EN HONOR AL  SANTO NIÑO,LAS VALERAS,CUENCA,3º Fin de semana de enero,
