Municipio,Provincia,Población,Superficie (km²),Altitud (m s.n.m.)
Albareal de Tajo,Toledo,692,41.44,451
Alcabón,Toledo,743,8.02,530
Aldea en Cabo,Toledo,187,25.5,502
Almorox,Toledo,2317,64.77,535
Barcience,Toledo,1003,18.98,516
Burujón,Toledo,1304,35.45,504
Camarena,Toledo,4283,66.22,573
Camarenilla,Toledo,610,24.35,507
Carmena,Toledo,777,46.7,556
"Carpio de Tajo, El",Toledo,1826,113.58,479
Carranque,Toledo,5155,24.73,657
Carriches,Toledo,276,18.67,545
"Casar de Escalona, El",Toledo,1891,39.55,463
Cedillo del Condado,Toledo,4101,26.44,646
Domingo Pérez,Toledo,306,12.93,497
Erustes,Toledo,206,9.52,537
Escalona,Toledo,3573,73.15,457
Escalonilla,Toledo,1440,50.95,547
Fuensalida,Toledo,12004,68.37,591
Gerindote,Toledo,2518,44.26,545
Hormigos,Toledo,881,27.48,462
Huecas,Toledo,810,27.42,547
Malpica de Tajo,Toledo,1688,79.59,389
"Mata, La",Toledo,854,19.18,564
Mesegar de Tajo,Toledo,203,17.66,477
Nombela,Toledo,881,121.56,493
Novés,Toledo,3236,41.71,564
Otero,Toledo,357,29.57,462
Palomeque,Toledo,1126,22.28,608
Paredes de Escalona,Toledo,122,24.92,489
Portillo de Toledo,Toledo,2234,19.95,598
"Puebla de Montalbán, La",Toledo,7838,141.34,508
Quismondo,Toledo,1673,15.43,548
Rielves,Toledo,760,32.83,494
Santa Cruz del Retamar,Toledo,3682,129.46,595
Santa Olalla,Toledo,3387,72.61,486
Santo Domingo-Caudilla,Toledo,1111,53.8,543
"Torre de Esteban Hambrán, La",Toledo,1703,50.7,577
Torrijos,Toledo,13678,17.34,527
Ugena,Toledo,5615,15.48,652
"Ventas de Retamosa, Las",Toledo,3806,18.9,620
Villamiel de Toledo,Toledo,1021,41.68,484
"Viso de San Juan, El",Toledo,5533,53.06,650
Cabañas de Yepes,Toledo,304,17.97,707
Ciruelos,Toledo,630,22.94,705
Dosbarrios,Toledo,2273,111.59,707
"Guardia, La",Toledo,2163,195.59,698
Huerta de Valdecarábanos,Toledo,1726,83,625
Lillo,Toledo,2543,151.4,684
Noblejas,Toledo,3857,69.67,732
Ocaña,Toledo,13185,147.9,733
Ontígola,Toledo,4752,41.49,607
Santa Cruz de la Zarza,Toledo,4097,264.29,785
Villamuelas,Toledo,610,43.36,590
Villanueva de Bogas,Toledo,699,57.44,652
Villarrubia de Santiago,Toledo,2509,155.29,757
Villasequilla,Toledo,2563,76.95,517
Villatobas,Toledo,2595,181.58,726
Yepes,Toledo,5268,84.97,699
Alcoba de los Montes,Ciudad Real,535,307.1,
Alcolea de Calatrava,Ciudad Real,1370,70.72,
Anchuras,Ciudad Real,265,231.05,
"Cortijos, Los",Ciudad Real,865,94.89,
Fernán Caballero,Ciudad Real,977,103.96,
Fontanarejo,Ciudad Real,246,76.95,
Fuente el Fresno,Ciudad Real,3085,119.46,
Horcajo de los Montes,Ciudad Real,821,207.47,
Luciana,Ciudad Real,368,113.84,
Malagón,Ciudad Real,7801,364.8,
Navas de Estena,Ciudad Real,292,146.54,
Picón,Ciudad Real,667,59.66,
Piedrabuena,Ciudad Real,4363,565.36,
Poblete,Ciudad Real,2802,27.93,
Porzuna,Ciudad Real,3505,211.9,
Puebla de Don Rodrigo,Ciudad Real,1119,424.87,
Retuerta del Bullaque,Ciudad Real,911,653.9,
"Robledo, El",Ciudad Real,1061,105.5,
Albaladejo,Ciudad Real,1074,48.94,
Alcubillas,Ciudad Real,452,47.46,
Almedina,Ciudad Real,489,55.9,
Almuradiel,Ciudad Real,740,66.16,
Castellar de Santiago,Ciudad Real,1819,95.5,
Cózar,Ciudad Real,913,64.99,
Fuenllana,Ciudad Real,214,59.96,
Montiel,Ciudad Real,1233,271.22,
Puebla del Príncipe,Ciudad Real,671,33.97,
Santa Cruz de los Cáñamos,Ciudad Real,513,17.72,
Santa Cruz de Mudela,Ciudad Real,3950,133.58,
Terrinches,Ciudad Real,622,55.52,
Torre de Juan Abad,Ciudad Real,1003,399.19,
Torrenueva,Ciudad Real,2659,142,
Valdepeñas,Ciudad Real,30071,489.26,
Villamanrique,Ciudad Real,1083,370,
Villanueva de la Fuente,Ciudad Real,1965,129.1,
Villanueva de los Infantes,Ciudad Real,4828,135.06,
Viso del Marqués,Ciudad Real,2183,533.2,
Alarcón,Cuenca,152,119.96,840
Almodóvar del Pinar,Cuenca,386,95.03,994
Buenache de Alarcón,Cuenca,447,64.16,821
Campillo de Altobuey,Cuenca,1262,172.41,939
Casas de Benítez,Cuenca,816,46.76,753
Casas de Guijarro,Cuenca,108,8.2,753
Casasimarro,Cuenca,3140,49.62,751
Castillejo de Iniesta,Cuenca,115,27.7,823
Enguídanos,Cuenca,299,165.35,734
Gabaldón,Cuenca,151,84.1,920
Graja de Iniesta,Cuenca,362,28.22,835
"Herrumblar, El",Cuenca,733,46.1,775
Hontecillas,Cuenca,62,34.7,828
Iniesta,Cuenca,4340,232.28,769
Ledaña,Cuenca,1563,65.47,725
Minglanilla,Cuenca,2268,109.64,823
Motilla del Palancar,Cuenca,6026,73.89,830
Olmedilla de Alarcón,Cuenca,136,38.31,822
Paracuellos,Cuenca,96,123.48,969
"Peral, El",Cuenca,650,85.84,793
"Pesquera, La",Cuenca,212,72.3,795
"Picazo, El",Cuenca,674,24.9,698
Pozoamargo,Cuenca,279,53.38,752
Pozorrubielos de la Mancha,Cuenca,173,73.58,779
Puebla del Salvador,Cuenca,192,48.09,842
Quintanar del Rey,Cuenca,7632,79.92,728
Sisante,Cuenca,1618,134.36,744
Tébar,Cuenca,287,99.02,888
Valhermoso de la Fuente,Cuenca,42,32.12,800
Valverdejo,Cuenca,94,32.47,867
Villagarcía del Llano,Cuenca,697,116.84,728
Villanueva de la Jara,Cuenca,2287,156.06,769
Villarta,Cuenca,789,25.62,757
